autor_post,url_autor,date_post,descripcion_post,autor_post_shared,url_autor_shared,date_post_shared,descripcion_post_shared,enlace_shared,url_image,url_video,cant_reacciones,cant_shared,cant_comments,tagged_someone,someone_tagged_me,shared,has_enlace,has_image,has_video
Goal en Español,https://www.facebook.com/GoalEspanol/?__cft__[0]=AZWmBNrg-GjEL7oNATWTEjfDeS1o1lKXDKzYTc8CFjIiULARgI6QPwZqanwHaNwkzoA3NYbSeBGvk5NVRjlJOIw2kO71VhubO_U67vEdBteNpMOYLyurh5lAMSMNR5YZ1OY&__tn__=kC%2CP-R,10 de octubre a las 22:41,¡Francia CAMPEÓN de la Nations League!  ¡Francia CAMPEÓN de la Nations League!  ¡Francia CAMPEÓN de la Nations League!  -,NOT ASSIGNED,NOT ASSIGNED,NOT ASSIGNED,NOT ASSIGNED,NOT ASSIGNED,['https://scontent-mia3-1.xx.fbcdn.net/v/t1.6435-9/p526x296/245196708_10159884979017272_1323303410235307142_n.jpg?_nc_cat=111&ccb=1-5&_nc_sid=730e14&_nc_ohc=pr0UTM4DsuUAX9H3RQv&tn=GGsnLDUN2rCNQoTu&_nc_ht=scontent-mia3-1.xx&oh=2351e9ab7e4f1d563a9f4855d3db637c&oe=618B8258'],NOT ASSIGNED,2372,0,197,NULL,NULL,False,False,True,False
Cracks,https://www.facebook.com/cracksnoticias/?__cft__[0]=AZUqXkCbXFuGmmOM4iahIY7o8NPgvNegHP47uczg6T14oWBMPU2q-c4kReX227OaLZYKgzE9zLI5E9KPoQMhM_Aa4Ufr_7gFlOksuHLmNaCadKPIV6nPgeFhQbLHdK5IGks&__tn__=-UC%2CP-R,10 de octubre a las 22:41,➟ 𝙁𝙄𝙉𝘼𝙇 | España 1-2 Francia ¡¡Francia campeón!! Remontaron a España con goles de Benzema & Mbappé. Oyarzabal hizo el primer gol del partido. ¿Opiniones? Los leemos. #GranFinal   | #UEFANationsLeague   | #CRACKS ,NOT ASSIGNED,NOT ASSIGNED,NOT ASSIGNED,NOT ASSIGNED,NOT ASSIGNED,['https://scontent-mia3-2.xx.fbcdn.net/v/t1.6435-9/p526x296/244593269_1537647109930200_8825271155563521106_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=a26aad&_nc_ohc=d_GuGM0FnhoAX_c7Hsi&_nc_ht=scontent-mia3-2.xx&oh=d96bb5ef864bdab22ad4ddf3ca27a2af&oe=618AA387'],NOT ASSIGNED,7167,0,500,NULL,NULL,False,False,True,False
Bolavip Argentina,https://www.facebook.com/Bolavip.Argentina/?__cft__[0]=AZVH-OytWMStHdxJt42g5LpsEyDBHu_5UbVJDCL87BWf-bWTJVHGmuqO5s8fRNtQEK2nAPRz1jSKccsT4tIjlYpqfZ0ZhMofLfuv7YU-WDXCrlQ2qYrAEJNqk9tj939Z_ZtS71VKBrey3lYI0XkEJUGM&__tn__=-UC%2CP-R,10 de octubre a las 23:00,Selecciones campeonas en 2021   Francia campeón de la UEFA Nations League   ARGENTINA campeón de la Copa América  Italia campeón de la Eurocopa  Est... Ver más,NOT ASSIGNED,NOT ASSIGNED,NOT ASSIGNED,NOT ASSIGNED,NOT ASSIGNED,['https://scontent-mia3-2.xx.fbcdn.net/v/t1.6435-9/p526x296/244651384_10159604902371397_6530314106533656609_n.jpg?_nc_cat=103&ccb=1-5&_nc_sid=9267fe&_nc_ohc=sxBn914dBQYAX8wIJGf&tn=GGsnLDUN2rCNQoTu&_nc_ht=scontent-mia3-2.xx&oh=7fba1fd2d410a40f0effb929df5526bd&oe=618A06CC'],NOT ASSIGNED,764,0,16,NULL,NULL,False,False,True,False
Telemundo Deportes,https://www.facebook.com/TELEMUNDODEPORTES?__cft__[0]=AZVxT3c7uBvSaBbsZxZOf8cTKJBt9UfXaAum6Bkkucmxh9uBjBMw8v2K16TAqLbMFEDfRUE9KIEMBve7_p0BlM7RWV0jZyvAuCypHfWC2qeitdEKZ6PAo4x0kZ3HC95p0JM&__tn__=-UC%2CP-R,10 de octubre a las 22:41, ¡FRANCIA ES CAMPEÓN!  ¡FRANCIA SE QUEDA CON LA #UEFANationsLeague!  Équipe de France de Football   dio golpe de autoridad a Selección Española de Fútbol (SeFutbol)   y da la vuelta al marcador  Kari... Ver más,NOT ASSIGNED,NOT ASSIGNED,NOT ASSIGNED,NOT ASSIGNED,NOT ASSIGNED,['https://scontent-mia3-1.xx.fbcdn.net/v/t1.6435-9/p526x296/244202686_436864127795016_5969104785147883277_n.jpg?_nc_cat=100&ccb=1-5&_nc_sid=730e14&_nc_ohc=wqvRARFoO_4AX--KSdP&_nc_ht=scontent-mia3-1.xx&oh=f450135888b2715070971b54e7c65bbe&oe=618CF42E'],NOT ASSIGNED,4305,0,422,NULL,NULL,False,False,True,False
ESPN Fans,https://www.facebook.com/espnfans.colombia/?__cft__[0]=AZWIL3VSDb4c4B-mARCLZBbiXLYw7iFGNBlT3uNoq1MHxscznvdz3q60dYR4SeuIUD30FWicS_bRdfeQKGK6eIKzKU5Yi-DbC3eWAC_ChkIkBj-Gp_vEq-hgidGCgFGilxo&__tn__=-UC%2CP-R,0 de octubre a las 22:42, ¡FRANCIA CAMPEÓN DE LA #NationsLeague!  El campeón del mundo comenzó perdiendo ante España por el tanto de Oyarzábal pero Benzemá empató gracias a un golazo y Mbappé convirtió el tanto que le dio el título.,NOT ASSIGNED,NOT ASSIGNED,NOT ASSIGNED,NOT ASSIGNED,NOT ASSIGNED,['https://scontent-mia3-2.xx.fbcdn.net/v/t1.6435-9/p526x296/245232625_2044221565725370_2078113344077299976_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=730e14&_nc_ohc=ANvTUWpjXXMAX_qmQFQ&_nc_ht=scontent-mia3-2.xx&oh=d61e1aaa0300bdd30306055ca50e8bde&oe=618B312F'],NOT ASSIGNED,1183,0,57,NULL,NULL,False,False,True,False
