id,name_user,url_user,comment_text,comment_main
1,Nels Rodríguez,https://www.facebook.com/nels.rodriguez.777?comment_id=Y29tbWVudDoxMDE2MTI3NDA2MzEyMzk5OF8xMDE2MTI5MDE1MzQ0ODk5OA%3D%3D&__cft__[0]=AZXkviw9QXouiR_gOqxyELoCgy-NOgb5ZGh9ACbSZQm3ag-EhUXa8AGp3JaTj-jUVZ3F_cGd5ZuObtSYsF93XXQLUJ-kFlNgtglN56ZGTfpKbsvBF87fg4PufaBd4WvKMdkrW9ng1i5LUGNvA8F0nRG6&__tn__=R]-R,Díos bendiga a Venezuela Uzcategui gobernador ya es hora de concretar un hecho votó consiente por Fuera Vecinal,True
2,Gisela Miquelareno,https://www.facebook.com/gisela.miquelareno.50?comment_id=Y29tbWVudDoxMDE2MTI3NDA2MzEyMzk5OF8xMDE2MTI4ODkyMTg4ODk5OA%3D%3D&__cft__[0]=AZXkviw9QXouiR_gOqxyELoCgy-NOgb5ZGh9ACbSZQm3ag-EhUXa8AGp3JaTj-jUVZ3F_cGd5ZuObtSYsF93XXQLUJ-kFlNgtglN56ZGTfpKbsvBF87fg4PufaBd4WvKMdkrW9ng1i5LUGNvA8F0nRG6&__tn__=R]-R,el mejor David Uzcategui futuro gobernador de Mirada,True
3,Jose Antonio Zambrano,https://www.facebook.com/profile.php?id=100015678586654&comment_id=Y29tbWVudDoxMDE2MTI3NDA2MzEyMzk5OF8xMDE2MTI4NDIzMTkyODk5OA%3D%3D&__cft__[0]=AZXkviw9QXouiR_gOqxyELoCgy-NOgb5ZGh9ACbSZQm3ag-EhUXa8AGp3JaTj-jUVZ3F_cGd5ZuObtSYsF93XXQLUJ-kFlNgtglN56ZGTfpKbsvBF87fg4PufaBd4WvKMdkrW9ng1i5LUGNvA8F0nRG6&__tn__=R]-R,"Demoles la oportunidad a este joven y preparado político para llevar las riendas de este maravilloso y abandonado estado para conducirlo a la mayor prosperidad y bienestar para todos,sí todos los habitantes q lo conformamos!la verdad particularmente me transmite confianza sin conocerlo pero con la intuición de q lo hará mejor q el actual ya q ganas,intención y dedicación le sobran para demostrarlo!solo es cuestión de darle la oportunidad y estoy casi seguro q no nos defraudará!",True
4,Rosari Barrio,https://www.facebook.com/rosari.barrio.9?comment_id=Y29tbWVudDoxMDE2MTI3NDA2MzEyMzk5OF8xMDE2MTI4NDExMDEzMzk5OA%3D%3D&__cft__[0]=AZXkviw9QXouiR_gOqxyELoCgy-NOgb5ZGh9ACbSZQm3ag-EhUXa8AGp3JaTj-jUVZ3F_cGd5ZuObtSYsF93XXQLUJ-kFlNgtglN56ZGTfpKbsvBF87fg4PufaBd4WvKMdkrW9ng1i5LUGNvA8F0nRG6&__tn__=R]-R,Todos unidos lograremos la victoria que dios te bendiga,True
5,Gean Geraldy,https://www.facebook.com/ggeraldy?comment_id=Y29tbWVudDoxMDE2MTI3NDA2MzEyMzk5OF8xMDE2MTI4NDA2MDgzODk5OA%3D%3D&__cft__[0]=AZXkviw9QXouiR_gOqxyELoCgy-NOgb5ZGh9ACbSZQm3ag-EhUXa8AGp3JaTj-jUVZ3F_cGd5ZuObtSYsF93XXQLUJ-kFlNgtglN56ZGTfpKbsvBF87fg4PufaBd4WvKMdkrW9ng1i5LUGNvA8F0nRG6&__tn__=R]-R,Amén amén amen,True
6,Mayerlin Parisca,https://www.facebook.com/profile.php?id=100009325464374&comment_id=Y29tbWVudDoxMDE2MTI3NDA2MzEyMzk5OF8xMDE2MTI4NDAzNzIxODk5OA%3D%3D&__cft__[0]=AZXkviw9QXouiR_gOqxyELoCgy-NOgb5ZGh9ACbSZQm3ag-EhUXa8AGp3JaTj-jUVZ3F_cGd5ZuObtSYsF93XXQLUJ-kFlNgtglN56ZGTfpKbsvBF87fg4PufaBd4WvKMdkrW9ng1i5LUGNvA8F0nRG6&__tn__=R]-R,"Vamos pueblo hay q dar un voto de confianza David Uzcátegui
confiamos en ti",True
7,Ysvett Coromoto Carvallo Perez,https://www.facebook.com/ysvettcoromoto.carvalloperez?comment_id=Y29tbWVudDoxMDE2MTI3NDA2MzEyMzk5OF8xMDE2MTI4Mzk1OTQ0ODk5OA%3D%3D&__cft__[0]=AZXkviw9QXouiR_gOqxyELoCgy-NOgb5ZGh9ACbSZQm3ag-EhUXa8AGp3JaTj-jUVZ3F_cGd5ZuObtSYsF93XXQLUJ-kFlNgtglN56ZGTfpKbsvBF87fg4PufaBd4WvKMdkrW9ng1i5LUGNvA8F0nRG6&__tn__=R]-R,Es cierto que todo lo que diga Carlos oscaris quedará nulo?,True
8,Fersen Aponte,https://www.facebook.com/fersen.aponte?comment_id=Y29tbWVudDoxMDE2MTI3NDA2MzEyMzk5OF8xMDE2MTI3NjY2MzA1ODk5OA%3D%3D&__cft__[0]=AZXkviw9QXouiR_gOqxyELoCgy-NOgb5ZGh9ACbSZQm3ag-EhUXa8AGp3JaTj-jUVZ3F_cGd5ZuObtSYsF93XXQLUJ-kFlNgtglN56ZGTfpKbsvBF87fg4PufaBd4WvKMdkrW9ng1i5LUGNvA8F0nRG6&__tn__=R]-R,"Señores hay que tener algo muy pero muy claro Miranda tiene 3 candidatos postulado: el becerron de Héctor Rodríguez, Carlos ocaris y David uzcategui estos dos últimos representan a la oposición deberían ponerse de acuerdo para que solo 1 vaya por la oposición ya que sino volverá a ganar el becerron de Héctor Rodríguez. Ahora bien porque les digo esto, pues acuérdense de cuando las elecciones presidenciales que también hubo 3 postulados el becerron de Nicolás maduro, Javier bertuchi y Henry falcón estos 2 últimos por la oposición y por no querer unirse volvió a ganar el chavismo la presidencia",True
8,Tibisay Chacin Loreto,https://www.facebook.com/tibisay.chacinloreto?comment_id=Y29tbWVudDoxMDE2MTI3NDA2MzEyMzk5OF8xMDE2MTI3Nzg2NDIzMzk5OA%3D%3D&__cft__[0]=AZXkviw9QXouiR_gOqxyELoCgy-NOgb5ZGh9ACbSZQm3ag-EhUXa8AGp3JaTj-jUVZ3F_cGd5ZuObtSYsF93XXQLUJ-kFlNgtglN56ZGTfpKbsvBF87fg4PufaBd4WvKMdkrW9ng1i5LUGNvA8F0nRG6&__tn__=R]-R,Fersen Aponte VOTA FUERZA VECINAL ARRIBA Y A LA DERECHA. DAVID UZCÁTEGUI GOBERNADOR,False
8,Fersen Aponte,https://www.facebook.com/fersen.aponte?comment_id=Y29tbWVudDoxMDE2MTI3NDA2MzEyMzk5OF8xMDE2MTI3ODE4OTU1Mzk5OA%3D%3D&__cft__[0]=AZXkviw9QXouiR_gOqxyELoCgy-NOgb5ZGh9ACbSZQm3ag-EhUXa8AGp3JaTj-jUVZ3F_cGd5ZuObtSYsF93XXQLUJ-kFlNgtglN56ZGTfpKbsvBF87fg4PufaBd4WvKMdkrW9ng1i5LUGNvA8F0nRG6&__tn__=R]-R,Tibisay Chacin Loreto cualquiera que gane menos el becerro de Héctor Rodríguez,False
